Date_Key,Date,Day,Month,Month_Name,Quarter,Year,Week_Number,Day_Name,Is_Weekend,Financial_Year
20190128,2019-01-28,28,1,January,Q1,2019,5,Monday,No,2018-19
20190129,2019-01-29,29,1,January,Q1,2019,5,Tuesday,No,2018-19
20190130,2019-01-30,30,1,January,Q1,2019,5,Wednesday,No,2018-19
20190131,2019-01-31,31,1,January,Q1,2019,5,Thursday,No,2018-19
20190201,2019-02-01,1,2,February,Q1,2019,5,Friday,No,2018-19
20190202,2019-02-02,2,2,February,Q1,2019,5,Saturday,Yes,2018-19
20190203,2019-02-03,3,2,February,Q1,2019,5,Sunday,Yes,2018-19
20190204,2019-02-04,4,2,February,Q1,2019,6,Monday,No,2018-19
20190205,2019-02-05,5,2,February,Q1,2019,6,Tuesday,No,2018-19
20190206,2019-02-06,6,2,February,Q1,2019,6,Wednesday,No,2018-19
20190207,2019-02-07,7,2,February,Q1,2019,6,Thursday,No,2018-19
20190208,2019-02-08,8,2,February,Q1,2019,6,Friday,No,2018-19
20190209,2019-02-09,9,2,February,Q1,2019,6,Saturday,Yes,2018-19
20190210,2019-02-10,10,2,February,Q1,2019,6,Sunday,Yes,2018-19
20190211,2019-02-11,11,2,February,Q1,2019,7,Monday,No,2018-19
20190212,2019-02-12,12,2,February,Q1,2019,7,Tuesday,No,2018-19
20190213,2019-02-13,13,2,February,Q1,2019,7,Wednesday,No,2018-19
20190214,2019-02-14,14,2,February,Q1,2019,7,Thursday,No,2018-19
20190215,2019-02-15,15,2,February,Q1,2019,7,Friday,No,2018-19
20190216,2019-02-16,16,2,February,Q1,2019,7,Saturday,Yes,2018-19
20190217,2019-02-17,17,2,February,Q1,2019,7,Sunday,Yes,2018-19
20190218,2019-02-18,18,2,February,Q1,2019,8,Monday,No,2018-19
20190219,2019-02-19,19,2,February,Q1,2019,8,Tuesday,No,2018-19
20190220,2019-02-20,20,2,February,Q1,2019,8,Wednesday,No,2018-19
20190221,2019-02-21,21,2,February,Q1,2019,8,Thursday,No,2018-19
20190222,2019-02-22,22,2,February,Q1,2019,8,Friday,No,2018-19
20190223,2019-02-23,23,2,February,Q1,2019,8,Saturday,Yes,2018-19
20190224,2019-02-24,24,2,February,Q1,2019,8,Sunday,Yes,2018-19
20190225,2019-02-25,25,2,February,Q1,2019,9,Monday,No,2018-19
20190226,2019-02-26,26,2,February,Q1,2019,9,Tuesday,No,2018-19
20190227,2019-02-27,27,2,February,Q1,2019,9,Wednesday,No,2018-19
20190228,2019-02-28,28,2,February,Q1,2019,9,Thursday,No,2018-19
20190301,2019-03-01,1,3,March,Q1,2019,9,Friday,No,2018-19
20190302,2019-03-02,2,3,March,Q1,2019,9,Saturday,Yes,2018-19
20190303,2019-03-03,3,3,March,Q1,2019,9,Sunday,Yes,2018-19
20190304,2019-03-04,4,3,March,Q1,2019,10,Monday,No,2018-19
20190305,2019-03-05,5,3,March,Q1,2019,10,Tuesday,No,2018-19
20190306,2019-03-06,6,3,March,Q1,2019,10,Wednesday,No,2018-19
20190307,2019-03-07,7,3,March,Q1,2019,10,Thursday,No,2018-19
20190308,2019-03-08,8,3,March,Q1,2019,10,Friday,No,2018-19
20190309,2019-03-09,9,3,March,Q1,2019,10,Saturday,Yes,2018-19
20190310,2019-03-10,10,3,March,Q1,2019,10,Sunday,Yes,2018-19
20190311,2019-03-11,11,3,March,Q1,2019,11,Monday,No,2018-19
20190312,2019-03-12,12,3,March,Q1,2019,11,Tuesday,No,2018-19
20190313,2019-03-13,13,3,March,Q1,2019,11,Wednesday,No,2018-19
20190314,2019-03-14,14,3,March,Q1,2019,11,Thursday,No,2018-19
20190315,2019-03-15,15,3,March,Q1,2019,11,Friday,No,2018-19
20190316,2019-03-16,16,3,March,Q1,2019,11,Saturday,Yes,2018-19
20190317,2019-03-17,17,3,March,Q1,2019,11,Sunday,Yes,2018-19
20190318,2019-03-18,18,3,March,Q1,2019,12,Monday,No,2018-19
20190319,2019-03-19,19,3,March,Q1,2019,12,Tuesday,No,2018-19
20190320,2019-03-20,20,3,March,Q1,2019,12,Wednesday,No,2018-19
20190321,2019-03-21,21,3,March,Q1,2019,12,Thursday,No,2018-19
20190322,2019-03-22,22,3,March,Q1,2019,12,Friday,No,2018-19
20190323,2019-03-23,23,3,March,Q1,2019,12,Saturday,Yes,2018-19
20190324,2019-03-24,24,3,March,Q1,2019,12,Sunday,Yes,2018-19
20190325,2019-03-25,25,3,March,Q1,2019,13,Monday,No,2018-19
20190326,2019-03-26,26,3,March,Q1,2019,13,Tuesday,No,2018-19
20190327,2019-03-27,27,3,March,Q1,2019,13,Wednesday,No,2018-19
20190328,2019-03-28,28,3,March,Q1,2019,13,Thursday,No,2018-19
20190329,2019-03-29,29,3,March,Q1,2019,13,Friday,No,2018-19
20190330,2019-03-30,30,3,March,Q1,2019,13,Saturday,Yes,2018-19
20190331,2019-03-31,31,3,March,Q1,2019,13,Sunday,Yes,2018-19
20190401,2019-04-01,1,4,April,Q2,2019,14,Monday,No,2019-20
20190402,2019-04-02,2,4,April,Q2,2019,14,Tuesday,No,2019-20
20190403,2019-04-03,3,4,April,Q2,2019,14,Wednesday,No,2019-20
20190404,2019-04-04,4,4,April,Q2,2019,14,Thursday,No,2019-20
20190405,2019-04-05,5,4,April,Q2,2019,14,Friday,No,2019-20
20190406,2019-04-06,6,4,April,Q2,2019,14,Saturday,Yes,2019-20
20190407,2019-04-07,7,4,April,Q2,2019,14,Sunday,Yes,2019-20
20190408,2019-04-08,8,4,April,Q2,2019,15,Monday,No,2019-20
20190409,2019-04-09,9,4,April,Q2,2019,15,Tuesday,No,2019-20
20190410,2019-04-10,10,4,April,Q2,2019,15,Wednesday,No,2019-20
20190411,2019-04-11,11,4,April,Q2,2019,15,Thursday,No,2019-20
20190412,2019-04-12,12,4,April,Q2,2019,15,Friday,No,2019-20
20190413,2019-04-13,13,4,April,Q2,2019,15,Saturday,Yes,2019-20
20190414,2019-04-14,14,4,April,Q2,2019,15,Sunday,Yes,2019-20
20190415,2019-04-15,15,4,April,Q2,2019,16,Monday,No,2019-20
20190416,2019-04-16,16,4,April,Q2,2019,16,Tuesday,No,2019-20
20190417,2019-04-17,17,4,April,Q2,2019,16,Wednesday,No,2019-20
20190418,2019-04-18,18,4,April,Q2,2019,16,Thursday,No,2019-20
20190419,2019-04-19,19,4,April,Q2,2019,16,Friday,No,2019-20
20190420,2019-04-20,20,4,April,Q2,2019,16,Saturday,Yes,2019-20
20190421,2019-04-21,21,4,April,Q2,2019,16,Sunday,Yes,2019-20
20190422,2019-04-22,22,4,April,Q2,2019,17,Monday,No,2019-20
20190423,2019-04-23,23,4,April,Q2,2019,17,Tuesday,No,2019-20
20190424,2019-04-24,24,4,April,Q2,2019,17,Wednesday,No,2019-20
20190425,2019-04-25,25,4,April,Q2,2019,17,Thursday,No,2019-20
20190426,2019-04-26,26,4,April,Q2,2019,17,Friday,No,2019-20
20190427,2019-04-27,27,4,April,Q2,2019,17,Saturday,Yes,2019-20
20190428,2019-04-28,28,4,April,Q2,2019,17,Sunday,Yes,2019-20
20190429,2019-04-29,29,4,April,Q2,2019,18,Monday,No,2019-20
20190430,2019-04-30,30,4,April,Q2,2019,18,Tuesday,No,2019-20
20190501,2019-05-01,1,5,May,Q2,2019,18,Wednesday,No,2019-20
20190502,2019-05-02,2,5,May,Q2,2019,18,Thursday,No,2019-20
20190503,2019-05-03,3,5,May,Q2,2019,18,Friday,No,2019-20
20190504,2019-05-04,4,5,May,Q2,2019,18,Saturday,Yes,2019-20
20190505,2019-05-05,5,5,May,Q2,2019,18,Sunday,Yes,2019-20
20190506,2019-05-06,6,5,May,Q2,2019,19,Monday,No,2019-20
20190507,2019-05-07,7,5,May,Q2,2019,19,Tuesday,No,2019-20
20190508,2019-05-08,8,5,May,Q2,2019,19,Wednesday,No,2019-20
20190509,2019-05-09,9,5,May,Q2,2019,19,Thursday,No,2019-20
20190510,2019-05-10,10,5,May,Q2,2019,19,Friday,No,2019-20
20190511,2019-05-11,11,5,May,Q2,2019,19,Saturday,Yes,2019-20
20190512,2019-05-12,12,5,May,Q2,2019,19,Sunday,Yes,2019-20
20190513,2019-05-13,13,5,May,Q2,2019,20,Monday,No,2019-20
20190514,2019-05-14,14,5,May,Q2,2019,20,Tuesday,No,2019-20
20190515,2019-05-15,15,5,May,Q2,2019,20,Wednesday,No,2019-20
20190516,2019-05-16,16,5,May,Q2,2019,20,Thursday,No,2019-20
20190517,2019-05-17,17,5,May,Q2,2019,20,Friday,No,2019-20
20190518,2019-05-18,18,5,May,Q2,2019,20,Saturday,Yes,2019-20
20190519,2019-05-19,19,5,May,Q2,2019,20,Sunday,Yes,2019-20
20190520,2019-05-20,20,5,May,Q2,2019,21,Monday,No,2019-20
20190521,2019-05-21,21,5,May,Q2,2019,21,Tuesday,No,2019-20
20190522,2019-05-22,22,5,May,Q2,2019,21,Wednesday,No,2019-20
20190523,2019-05-23,23,5,May,Q2,2019,21,Thursday,No,2019-20
20190524,2019-05-24,24,5,May,Q2,2019,21,Friday,No,2019-20
20190525,2019-05-25,25,5,May,Q2,2019,21,Saturday,Yes,2019-20
20190526,2019-05-26,26,5,May,Q2,2019,21,Sunday,Yes,2019-20
20190527,2019-05-27,27,5,May,Q2,2019,22,Monday,No,2019-20
20190528,2019-05-28,28,5,May,Q2,2019,22,Tuesday,No,2019-20
20190529,2019-05-29,29,5,May,Q2,2019,22,Wednesday,No,2019-20
20190530,2019-05-30,30,5,May,Q2,2019,22,Thursday,No,2019-20
20190531,2019-05-31,31,5,May,Q2,2019,22,Friday,No,2019-20
20190601,2019-06-01,1,6,June,Q2,2019,22,Saturday,Yes,2019-20
20190602,2019-06-02,2,6,June,Q2,2019,22,Sunday,Yes,2019-20
20190603,2019-06-03,3,6,June,Q2,2019,23,Monday,No,2019-20
20190604,2019-06-04,4,6,June,Q2,2019,23,Tuesday,No,2019-20
20190605,2019-06-05,5,6,June,Q2,2019,23,Wednesday,No,2019-20
20190606,2019-06-06,6,6,June,Q2,2019,23,Thursday,No,2019-20
20190607,2019-06-07,7,6,June,Q2,2019,23,Friday,No,2019-20
20190608,2019-06-08,8,6,June,Q2,2019,23,Saturday,Yes,2019-20
20190609,2019-06-09,9,6,June,Q2,2019,23,Sunday,Yes,2019-20
20190610,2019-06-10,10,6,June,Q2,2019,24,Monday,No,2019-20
20190611,2019-06-11,11,6,June,Q2,2019,24,Tuesday,No,2019-20
20190612,2019-06-12,12,6,June,Q2,2019,24,Wednesday,No,2019-20
20190613,2019-06-13,13,6,June,Q2,2019,24,Thursday,No,2019-20
20190614,2019-06-14,14,6,June,Q2,2019,24,Friday,No,2019-20
20190615,2019-06-15,15,6,June,Q2,2019,24,Saturday,Yes,2019-20
20190616,2019-06-16,16,6,June,Q2,2019,24,Sunday,Yes,2019-20
20190617,2019-06-17,17,6,June,Q2,2019,25,Monday,No,2019-20
20190618,2019-06-18,18,6,June,Q2,2019,25,Tuesday,No,2019-20
20190619,2019-06-19,19,6,June,Q2,2019,25,Wednesday,No,2019-20
20190620,2019-06-20,20,6,June,Q2,2019,25,Thursday,No,2019-20
20190621,2019-06-21,21,6,June,Q2,2019,25,Friday,No,2019-20
20190622,2019-06-22,22,6,June,Q2,2019,25,Saturday,Yes,2019-20
20190623,2019-06-23,23,6,June,Q2,2019,25,Sunday,Yes,2019-20
20190624,2019-06-24,24,6,June,Q2,2019,26,Monday,No,2019-20
20190625,2019-06-25,25,6,June,Q2,2019,26,Tuesday,No,2019-20
20190626,2019-06-26,26,6,June,Q2,2019,26,Wednesday,No,2019-20
20190627,2019-06-27,27,6,June,Q2,2019,26,Thursday,No,2019-20
20190628,2019-06-28,28,6,June,Q2,2019,26,Friday,No,2019-20
20190629,2019-06-29,29,6,June,Q2,2019,26,Saturday,Yes,2019-20
20190630,2019-06-30,30,6,June,Q2,2019,26,Sunday,Yes,2019-20
20190701,2019-07-01,1,7,July,Q3,2019,27,Monday,No,2019-20
20190702,2019-07-02,2,7,July,Q3,2019,27,Tuesday,No,2019-20
20190703,2019-07-03,3,7,July,Q3,2019,27,Wednesday,No,2019-20
20190704,2019-07-04,4,7,July,Q3,2019,27,Thursday,No,2019-20
20190705,2019-07-05,5,7,July,Q3,2019,27,Friday,No,2019-20
20190706,2019-07-06,6,7,July,Q3,2019,27,Saturday,Yes,2019-20
20190707,2019-07-07,7,7,July,Q3,2019,27,Sunday,Yes,2019-20
20190708,2019-07-08,8,7,July,Q3,2019,28,Monday,No,2019-20
20190709,2019-07-09,9,7,July,Q3,2019,28,Tuesday,No,2019-20
20190710,2019-07-10,10,7,July,Q3,2019,28,Wednesday,No,2019-20
20190711,2019-07-11,11,7,July,Q3,2019,28,Thursday,No,2019-20
20190712,2019-07-12,12,7,July,Q3,2019,28,Friday,No,2019-20
20190713,2019-07-13,13,7,July,Q3,2019,28,Saturday,Yes,2019-20
20190714,2019-07-14,14,7,July,Q3,2019,28,Sunday,Yes,2019-20
20190715,2019-07-15,15,7,July,Q3,2019,29,Monday,No,2019-20
20190716,2019-07-16,16,7,July,Q3,2019,29,Tuesday,No,2019-20
20190717,2019-07-17,17,7,July,Q3,2019,29,Wednesday,No,2019-20
20190718,2019-07-18,18,7,July,Q3,2019,29,Thursday,No,2019-20
20190719,2019-07-19,19,7,July,Q3,2019,29,Friday,No,2019-20
20190720,2019-07-20,20,7,July,Q3,2019,29,Saturday,Yes,2019-20
20190721,2019-07-21,21,7,July,Q3,2019,29,Sunday,Yes,2019-20
20190722,2019-07-22,22,7,July,Q3,2019,30,Monday,No,2019-20
20190723,2019-07-23,23,7,July,Q3,2019,30,Tuesday,No,2019-20
20190724,2019-07-24,24,7,July,Q3,2019,30,Wednesday,No,2019-20
20190725,2019-07-25,25,7,July,Q3,2019,30,Thursday,No,2019-20
20190726,2019-07-26,26,7,July,Q3,2019,30,Friday,No,2019-20
20190727,2019-07-27,27,7,July,Q3,2019,30,Saturday,Yes,2019-20
20190728,2019-07-28,28,7,July,Q3,2019,30,Sunday,Yes,2019-20
20190729,2019-07-29,29,7,July,Q3,2019,31,Monday,No,2019-20
20190730,2019-07-30,30,7,July,Q3,2019,31,Tuesday,No,2019-20
20190731,2019-07-31,31,7,July,Q3,2019,31,Wednesday,No,2019-20
20190801,2019-08-01,1,8,August,Q3,2019,31,Thursday,No,2019-20
20190802,2019-08-02,2,8,August,Q3,2019,31,Friday,No,2019-20
20190803,2019-08-03,3,8,August,Q3,2019,31,Saturday,Yes,2019-20
20190804,2019-08-04,4,8,August,Q3,2019,31,Sunday,Yes,2019-20
20190805,2019-08-05,5,8,August,Q3,2019,32,Monday,No,2019-20
20190806,2019-08-06,6,8,August,Q3,2019,32,Tuesday,No,2019-20
20190807,2019-08-07,7,8,August,Q3,2019,32,Wednesday,No,2019-20
20190808,2019-08-08,8,8,August,Q3,2019,32,Thursday,No,2019-20
20190809,2019-08-09,9,8,August,Q3,2019,32,Friday,No,2019-20
20190810,2019-08-10,10,8,August,Q3,2019,32,Saturday,Yes,2019-20
20190811,2019-08-11,11,8,August,Q3,2019,32,Sunday,Yes,2019-20
20190812,2019-08-12,12,8,August,Q3,2019,33,Monday,No,2019-20
20190813,2019-08-13,13,8,August,Q3,2019,33,Tuesday,No,2019-20
20190814,2019-08-14,14,8,August,Q3,2019,33,Wednesday,No,2019-20
20190815,2019-08-15,15,8,August,Q3,2019,33,Thursday,No,2019-20
20190816,2019-08-16,16,8,August,Q3,2019,33,Friday,No,2019-20
20190817,2019-08-17,17,8,August,Q3,2019,33,Saturday,Yes,2019-20
20190818,2019-08-18,18,8,August,Q3,2019,33,Sunday,Yes,2019-20
20190819,2019-08-19,19,8,August,Q3,2019,34,Monday,No,2019-20
20190820,2019-08-20,20,8,August,Q3,2019,34,Tuesday,No,2019-20
20190821,2019-08-21,21,8,August,Q3,2019,34,Wednesday,No,2019-20
20190822,2019-08-22,22,8,August,Q3,2019,34,Thursday,No,2019-20
20190823,2019-08-23,23,8,August,Q3,2019,34,Friday,No,2019-20
20190824,2019-08-24,24,8,August,Q3,2019,34,Saturday,Yes,2019-20
20190825,2019-08-25,25,8,August,Q3,2019,34,Sunday,Yes,2019-20
20190826,2019-08-26,26,8,August,Q3,2019,35,Monday,No,2019-20
20190827,2019-08-27,27,8,August,Q3,2019,35,Tuesday,No,2019-20
20190828,2019-08-28,28,8,August,Q3,2019,35,Wednesday,No,2019-20
20190829,2019-08-29,29,8,August,Q3,2019,35,Thursday,No,2019-20
20190830,2019-08-30,30,8,August,Q3,2019,35,Friday,No,2019-20
20190831,2019-08-31,31,8,August,Q3,2019,35,Saturday,Yes,2019-20
20190901,2019-09-01,1,9,September,Q3,2019,35,Sunday,Yes,2019-20
20190902,2019-09-02,2,9,September,Q3,2019,36,Monday,No,2019-20
20190903,2019-09-03,3,9,September,Q3,2019,36,Tuesday,No,2019-20
20190904,2019-09-04,4,9,September,Q3,2019,36,Wednesday,No,2019-20
20190905,2019-09-05,5,9,September,Q3,2019,36,Thursday,No,2019-20
20190906,2019-09-06,6,9,September,Q3,2019,36,Friday,No,2019-20
20190907,2019-09-07,7,9,September,Q3,2019,36,Saturday,Yes,2019-20
20190908,2019-09-08,8,9,September,Q3,2019,36,Sunday,Yes,2019-20
20190909,2019-09-09,9,9,September,Q3,2019,37,Monday,No,2019-20
20190910,2019-09-10,10,9,September,Q3,2019,37,Tuesday,No,2019-20
20190911,2019-09-11,11,9,September,Q3,2019,37,Wednesday,No,2019-20
20190912,2019-09-12,12,9,September,Q3,2019,37,Thursday,No,2019-20
20190913,2019-09-13,13,9,September,Q3,2019,37,Friday,No,2019-20
20190914,2019-09-14,14,9,September,Q3,2019,37,Saturday,Yes,2019-20
20190915,2019-09-15,15,9,September,Q3,2019,37,Sunday,Yes,2019-20
20190916,2019-09-16,16,9,September,Q3,2019,38,Monday,No,2019-20
20190917,2019-09-17,17,9,September,Q3,2019,38,Tuesday,No,2019-20
20190918,2019-09-18,18,9,September,Q3,2019,38,Wednesday,No,2019-20
20190919,2019-09-19,19,9,September,Q3,2019,38,Thursday,No,2019-20
20190920,2019-09-20,20,9,September,Q3,2019,38,Friday,No,2019-20
20190921,2019-09-21,21,9,September,Q3,2019,38,Saturday,Yes,2019-20
20190922,2019-09-22,22,9,September,Q3,2019,38,Sunday,Yes,2019-20
20190923,2019-09-23,23,9,September,Q3,2019,39,Monday,No,2019-20
20190924,2019-09-24,24,9,September,Q3,2019,39,Tuesday,No,2019-20
20190925,2019-09-25,25,9,September,Q3,2019,39,Wednesday,No,2019-20
20190926,2019-09-26,26,9,September,Q3,2019,39,Thursday,No,2019-20
20190927,2019-09-27,27,9,September,Q3,2019,39,Friday,No,2019-20
20190928,2019-09-28,28,9,September,Q3,2019,39,Saturday,Yes,2019-20
20190929,2019-09-29,29,9,September,Q3,2019,39,Sunday,Yes,2019-20
20190930,2019-09-30,30,9,September,Q3,2019,40,Monday,No,2019-20
20191001,2019-10-01,1,10,October,Q4,2019,40,Tuesday,No,2019-20
20191002,2019-10-02,2,10,October,Q4,2019,40,Wednesday,No,2019-20
20191003,2019-10-03,3,10,October,Q4,2019,40,Thursday,No,2019-20
20191004,2019-10-04,4,10,October,Q4,2019,40,Friday,No,2019-20
20191005,2019-10-05,5,10,October,Q4,2019,40,Saturday,Yes,2019-20
20191006,2019-10-06,6,10,October,Q4,2019,40,Sunday,Yes,2019-20
20191007,2019-10-07,7,10,October,Q4,2019,41,Monday,No,2019-20
20191008,2019-10-08,8,10,October,Q4,2019,41,Tuesday,No,2019-20
20191009,2019-10-09,9,10,October,Q4,2019,41,Wednesday,No,2019-20
20191010,2019-10-10,10,10,October,Q4,2019,41,Thursday,No,2019-20
20191011,2019-10-11,11,10,October,Q4,2019,41,Friday,No,2019-20
20191012,2019-10-12,12,10,October,Q4,2019,41,Saturday,Yes,2019-20
20191013,2019-10-13,13,10,October,Q4,2019,41,Sunday,Yes,2019-20
20191014,2019-10-14,14,10,October,Q4,2019,42,Monday,No,2019-20
20191015,2019-10-15,15,10,October,Q4,2019,42,Tuesday,No,2019-20
20191016,2019-10-16,16,10,October,Q4,2019,42,Wednesday,No,2019-20
20191017,2019-10-17,17,10,October,Q4,2019,42,Thursday,No,2019-20
20191018,2019-10-18,18,10,October,Q4,2019,42,Friday,No,2019-20
20191019,2019-10-19,19,10,October,Q4,2019,42,Saturday,Yes,2019-20
20191020,2019-10-20,20,10,October,Q4,2019,42,Sunday,Yes,2019-20
20191021,2019-10-21,21,10,October,Q4,2019,43,Monday,No,2019-20
20191022,2019-10-22,22,10,October,Q4,2019,43,Tuesday,No,2019-20
20191023,2019-10-23,23,10,October,Q4,2019,43,Wednesday,No,2019-20
20191024,2019-10-24,24,10,October,Q4,2019,43,Thursday,No,2019-20
20191025,2019-10-25,25,10,October,Q4,2019,43,Friday,No,2019-20
20191026,2019-10-26,26,10,October,Q4,2019,43,Saturday,Yes,2019-20
20191027,2019-10-27,27,10,October,Q4,2019,43,Sunday,Yes,2019-20
20191028,2019-10-28,28,10,October,Q4,2019,44,Monday,No,2019-20
20191029,2019-10-29,29,10,October,Q4,2019,44,Tuesday,No,2019-20
20191030,2019-10-30,30,10,October,Q4,2019,44,Wednesday,No,2019-20
20191031,2019-10-31,31,10,October,Q4,2019,44,Thursday,No,2019-20
20191101,2019-11-01,1,11,November,Q4,2019,44,Friday,No,2019-20
20191102,2019-11-02,2,11,November,Q4,2019,44,Saturday,Yes,2019-20
20191103,2019-11-03,3,11,November,Q4,2019,44,Sunday,Yes,2019-20
20191104,2019-11-04,4,11,November,Q4,2019,45,Monday,No,2019-20
20191105,2019-11-05,5,11,November,Q4,2019,45,Tuesday,No,2019-20
20191106,2019-11-06,6,11,November,Q4,2019,45,Wednesday,No,2019-20
20191107,2019-11-07,7,11,November,Q4,2019,45,Thursday,No,2019-20
20191108,2019-11-08,8,11,November,Q4,2019,45,Friday,No,2019-20
20191109,2019-11-09,9,11,November,Q4,2019,45,Saturday,Yes,2019-20
20191110,2019-11-10,10,11,November,Q4,2019,45,Sunday,Yes,2019-20
20191111,2019-11-11,11,11,November,Q4,2019,46,Monday,No,2019-20
20191112,2019-11-12,12,11,November,Q4,2019,46,Tuesday,No,2019-20
20191113,2019-11-13,13,11,November,Q4,2019,46,Wednesday,No,2019-20
20191114,2019-11-14,14,11,November,Q4,2019,46,Thursday,No,2019-20
20191115,2019-11-15,15,11,November,Q4,2019,46,Friday,No,2019-20
20191116,2019-11-16,16,11,November,Q4,2019,46,Saturday,Yes,2019-20
20191117,2019-11-17,17,11,November,Q4,2019,46,Sunday,Yes,2019-20
20191118,2019-11-18,18,11,November,Q4,2019,47,Monday,No,2019-20
20191119,2019-11-19,19,11,November,Q4,2019,47,Tuesday,No,2019-20
20191120,2019-11-20,20,11,November,Q4,2019,47,Wednesday,No,2019-20
20191121,2019-11-21,21,11,November,Q4,2019,47,Thursday,No,2019-20
20191122,2019-11-22,22,11,November,Q4,2019,47,Friday,No,2019-20
20191123,2019-11-23,23,11,November,Q4,2019,47,Saturday,Yes,2019-20
20191124,2019-11-24,24,11,November,Q4,2019,47,Sunday,Yes,2019-20
20191125,2019-11-25,25,11,November,Q4,2019,48,Monday,No,2019-20
20191126,2019-11-26,26,11,November,Q4,2019,48,Tuesday,No,2019-20
20191127,2019-11-27,27,11,November,Q4,2019,48,Wednesday,No,2019-20
20191128,2019-11-28,28,11,November,Q4,2019,48,Thursday,No,2019-20
20191129,2019-11-29,29,11,November,Q4,2019,48,Friday,No,2019-20
20191130,2019-11-30,30,11,November,Q4,2019,48,Saturday,Yes,2019-20
20191201,2019-12-01,1,12,December,Q4,2019,48,Sunday,Yes,2019-20
20191202,2019-12-02,2,12,December,Q4,2019,49,Monday,No,2019-20
20191203,2019-12-03,3,12,December,Q4,2019,49,Tuesday,No,2019-20
20191204,2019-12-04,4,12,December,Q4,2019,49,Wednesday,No,2019-20
20191205,2019-12-05,5,12,December,Q4,2019,49,Thursday,No,2019-20
20191206,2019-12-06,6,12,December,Q4,2019,49,Friday,No,2019-20
20191207,2019-12-07,7,12,December,Q4,2019,49,Saturday,Yes,2019-20
20191208,2019-12-08,8,12,December,Q4,2019,49,Sunday,Yes,2019-20
20191209,2019-12-09,9,12,December,Q4,2019,50,Monday,No,2019-20
20191210,2019-12-10,10,12,December,Q4,2019,50,Tuesday,No,2019-20
20191211,2019-12-11,11,12,December,Q4,2019,50,Wednesday,No,2019-20
20191212,2019-12-12,12,12,December,Q4,2019,50,Thursday,No,2019-20
20191213,2019-12-13,13,12,December,Q4,2019,50,Friday,No,2019-20
20191214,2019-12-14,14,12,December,Q4,2019,50,Saturday,Yes,2019-20
20191215,2019-12-15,15,12,December,Q4,2019,50,Sunday,Yes,2019-20
20191216,2019-12-16,16,12,December,Q4,2019,51,Monday,No,2019-20
20191217,2019-12-17,17,12,December,Q4,2019,51,Tuesday,No,2019-20
20191218,2019-12-18,18,12,December,Q4,2019,51,Wednesday,No,2019-20
20191219,2019-12-19,19,12,December,Q4,2019,51,Thursday,No,2019-20
20191220,2019-12-20,20,12,December,Q4,2019,51,Friday,No,2019-20
20191221,2019-12-21,21,12,December,Q4,2019,51,Saturday,Yes,2019-20
20191222,2019-12-22,22,12,December,Q4,2019,51,Sunday,Yes,2019-20
20191223,2019-12-23,23,12,December,Q4,2019,52,Monday,No,2019-20
20191224,2019-12-24,24,12,December,Q4,2019,52,Tuesday,No,2019-20
20191225,2019-12-25,25,12,December,Q4,2019,52,Wednesday,No,2019-20
20191226,2019-12-26,26,12,December,Q4,2019,52,Thursday,No,2019-20
