Location_ID,City,District,State,Region,Country,Postal_Code,Population,Urban_Rural,GDP_Index
LOC069,Lucknow,Lucknow,Uttar Pradesh,North,India,773496,18115225,Urban,85.66
LOC070,Bengaluru,Bengaluru Urban,Karnataka,South,India,724885,12892836,Urban,146.79
LOC071,Chennai,Chennai,Tamil Nadu,South,India,239442,3097789,Urban,142.01
LOC072,Hyderabad,Hyderabad,Telangana,South,India,100993,12862888,Urban,117.44
LOC073,Kochi,Ernakulam,Kerala,South,India,745050,18150052,Urban,122.21
LOC074,Kolkata,Kolkata,West Bengal,East,India,691705,12661376,Urban,148.25
LOC075,Patna,Patna,Bihar,East,India,617378,9830935,Urban,128.12
LOC076,Guwahati,Kamrup,Assam,Northeast,India,502539,5386073,Urban,94.49
LOC077,Bhubaneswar,Khordha,Odisha,East,India,415414,16703249,Urban,76.48
LOC078,Indore,Indore,Madhya Pradesh,Central,India,422424,16550550,Rural,85.75
LOC079,Bhopal,Bhopal,Madhya Pradesh,Central,India,124929,4139815,Urban,147.06
LOC080,Chandigarh,Chandigarh,Chandigarh,North,India,357425,9884908,Urban,85.23
LOC081,Ahmedabad,Ahmedabad,Gujarat,West,India,511449,493029,Urban,117.02
LOC082,Surat,Surat,Gujarat,West,India,355298,15964129,Urban,93.42
LOC083,Vadodara,Vadodara,Gujarat,West,India,380691,5243073,Urban,96.43
LOC084,Rajkot,Rajkot,Gujarat,West,India,616176,15975987,Urban,139.76
LOC085,Mumbai,Mumbai Suburban,Maharashtra,West,India,879588,4015429,Urban,84.45
LOC086,Pune,Pune,Maharashtra,West,India,396062,17951219,Urban,121.02
LOC087,Delhi,New Delhi,Delhi,North,India,866798,17829403,Urban,101.23
LOC088,Jaipur,Jaipur,Rajasthan,North,India,814878,19874116,Urban,75.21
LOC089,Lucknow,Lucknow,Uttar Pradesh,North,India,680101,15337859,Urban,83.07
LOC090,Bengaluru,Bengaluru Urban,Karnataka,South,India,820812,18357039,Urban,107.23
LOC091,Chennai,Chennai,Tamil Nadu,South,India,946757,14402288,Urban,126.68
LOC092,Hyderabad,Hyderabad,Telangana,South,India,762946,16219178,Rural,138.09
LOC093,Kochi,Ernakulam,Kerala,South,India,598828,13198830,Urban,128.97
LOC094,Kolkata,Kolkata,West Bengal,East,India,410848,15655651,Rural,79.95
LOC095,Patna,Patna,Bihar,East,India,976901,158261,Urban,107.46
LOC096,Guwahati,Kamrup,Assam,Northeast,India,400271,15902780,Rural,85.7
LOC097,Bhubaneswar,Khordha,Odisha,East,India,601651,18474582,Rural,147.97
LOC098,Indore,Indore,Madhya Pradesh,Central,India,664075,5201536,Urban,115.61
LOC099,Bhopal,Bhopal,Madhya Pradesh,Central,India,150912,2345771,Urban,95.04
LOC100,Chandigarh,Chandigarh,Chandigarh,North,India,189334,2161163,Urban,76.92
